"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"1","Antonio Brown","WR","PIT",154,106,1284,1584,434,12,10.3,0.81,0.33,0.28,0.65,307.3
"2","Jordy Nelson","WR","GB",152,97,1257,1862,361,14,12.2,0.68,0.35,0.25,0.61,306.7
"3","Mike Evans","WR","TB",171,96,1321,2500,179,12,14.6,0.53,0.43,0.3,0.74,300.1
"4","Odell Beckham","WR","NYG",169,101,1367,1849,534,10,10.9,0.74,0.39,0.28,0.7,298.6
"5","T.Y. Hilton","WR","IND",155,91,1448,1898,342,6,12.2,0.76,0.39,0.27,0.67,271.8
"6","Julio Jones","WR","ATL",129,83,1409,1821,396,6,14.1,0.77,0.43,0.27,0.7,259.9
"7","Michael Thomas","WR","NO",121,92,1137,1047,483,9,8.7,1.09,0.23,0.19,0.45,259.7
"8","Doug Baldwin","WR","SEA",125,94,1128,1118,472,7,8.9,1.01,0.23,0.22,0.49,249
"9","Larry Fitzgerald","WR","ARI",151,108,1028,1169,366,6,7.7,0.88,0.19,0.23,0.48,246.9
"10","Davante Adams","WR","GB",121,75,997,1440,386,12,11.9,0.69,0.27,0.2,0.48,246.7
"11","Brandin Cooks","WR","NO",117,78,1173,1526,380,8,13,0.77,0.33,0.18,0.51,246.3
"12","Michael Crabtree","WR","OAK",145,89,1003,1514,252,8,10.4,0.66,0.33,0.24,0.6,237.3
"13","Jarvis Landry","WR","MIA",131,94,1138,853,618,4,6.5,1.33,0.22,0.27,0.57,233.5
"14","Julian Edelman","WR","NE",160,98,1106,1415,494,3,8.8,0.78,0.34,0.29,0.67,232.3
"15","Demaryius Thomas","WR","DEN",144,90,1083,1487,322,5,10.3,0.73,0.3,0.25,0.59,228.3
"16","Amari Cooper","WR","OAK",131,82,1149,1289,430,5,9.8,0.89,0.28,0.22,0.53,226.9
"17","Golden Tate","WR","DET",135,91,1077,1098,619,4,8.1,0.98,0.25,0.23,0.51,223.1
"18","Travis Kelce","TE","KC",117,85,1125,785,633,4,6.7,1.43,0.21,0.21,0.47,221
"19","Tyrell Williams","WR","SD",119,69,1059,1382,433,7,11.6,0.77,0.28,0.21,0.5,216.9
"20","Rishard Matthews","WR","TEN",108,65,945,1427,203,9,13.2,0.66,0.3,0.21,0.53,213.5
"21","Emmanuel Sanders","WR","DEN",137,79,1032,1683,252,5,12.3,0.61,0.35,0.25,0.63,212.6
"22","Terrelle Pryor","WR","CLE",141,77,1007,2029,246,4,14.4,0.5,0.39,0.25,0.65,209.8
"23","Kyle Rudolph","TE","MIN",133,83,840,901,359,7,6.8,0.93,0.23,0.23,0.5,209
"24","Greg Olsen","TE","CAR",129,80,1073,1406,352,3,10.9,0.76,0.25,0.23,0.52,205.3
"25","Pierre Garcon","WR","WAS",114,79,1041,1175,342,3,10.3,0.89,0.22,0.19,0.44,201.1
"26","Tyreek Hill","WR","KC",83,61,593,662,268,6,8,0.9,0.18,0.15,0.35,201
"27","Mike Wallace","WR","BAL",117,72,1017,1429,427,4,12.2,0.71,0.29,0.17,0.46,200.8
"28","Kelvin Benjamin","WR","CAR",117,63,941,1381,238,7,11.8,0.68,0.24,0.21,0.48,199.1
"29","Kenny Britt","WR","LA",111,68,1002,1284,295,5,11.6,0.78,0.34,0.22,0.57,198.2
"30","DeAndre Hopkins","WR","HOU",151,78,954,1793,279,4,11.9,0.53,0.36,0.26,0.64,197.4
"31","Allen Robinson","WR","JAC",150,73,883,1974,210,6,13.2,0.45,0.37,0.24,0.62,197.3
"32","Adam Thielen","WR","MIN",92,69,967,989,299,5,10.8,0.98,0.25,0.16,0.41,197.2
"33","Jamison Crowder","WR","WAS",99,67,847,802,377,7,8.1,1.06,0.15,0.16,0.35,193.5
"34","Jimmy Graham","TE","SEA",95,65,923,893,325,6,9.4,1.03,0.18,0.17,0.38,193.3
"35","Stefon Diggs","WR","MIN",112,84,903,951,319,3,8.5,0.95,0.28,0.23,0.54,193.3
"36","Cole Beasley","WR","DAL",98,75,833,620,432,5,6.3,1.34,0.16,0.2,0.41,189
"37","Delanie Walker","TE","TEN",102,65,800,971,271,7,9.5,0.82,0.22,0.22,0.48,188.1
"38","A.J. Green","WR","CIN",100,66,964,1236,258,4,12.4,0.78,0.41,0.28,0.7,186.4
"39","Brandon LaFell","WR","CIN",107,64,862,1095,340,6,10.2,0.79,0.25,0.19,0.46,186
"40","Willie Snead","WR","NO",104,72,895,783,387,4,7.5,1.14,0.18,0.17,0.38,185.5
"41","Sterling Shepard","WR","NYG",105,65,683,972,257,8,9.3,0.7,0.21,0.18,0.41,184.4
"42","Zach Ertz","TE","PHI",106,78,816,867,263,4,8.2,0.94,0.21,0.19,0.44,183.6
"43","DeSean Jackson","WR","WAS",100,56,1005,1489,281,4,14.9,0.67,0.3,0.17,0.47,180.5
"44","Cameron Meredith","WR","CHI",97,66,888,971,309,4,10,0.91,0.21,0.19,0.44,179.4
"45","Dez Bryant","WR","DAL",96,50,796,1396,140,8,14.5,0.57,0.41,0.24,0.64,177.6
"46","Marvin Jones","WR","DET",103,55,930,1448,221,4,14.1,0.64,0.35,0.19,0.52,172.3
"47","Jordan Matthews","WR","PHI",116,73,804,1108,242,3,9.6,0.73,0.3,0.23,0.55,171.4
"48","Cameron Brate","TE","TB",82,57,660,799,136,8,9.7,0.83,0.14,0.15,0.33,171
"49","Jordan Reed","TE","WAS",89,66,686,644,264,6,7.2,1.07,0.16,0.19,0.4,170.6
"50","Marqise Lee","WR","JAC",105,63,851,1269,338,3,12.1,0.67,0.24,0.17,0.42,169.6
"51","Quincy Enunwa","WR","NYJ",105,58,857,938,352,4,8.9,0.91,0.19,0.19,0.42,168.9
"52","Kenny Stills","WR","MIA",81,42,726,1161,193,9,14.3,0.63,0.3,0.17,0.47,168.6
"53","Martellus Bennett","TE","NE",73,55,701,390,412,7,5.3,1.8,0.09,0.13,0.26,168.1
"54","Dontrelle Inman","WR","SD",97,58,810,1067,214,4,11,0.76,0.22,0.17,0.4,163
"55","Ted Ginn","WR","CAR",95,54,752,1169,182,4,12.3,0.64,0.21,0.17,0.4,163
"56","Brandon Marshall","WR","NYJ",129,60,787,1618,177,3,12.5,0.49,0.35,0.25,0.62,156.7
"57","DeVante Parker","WR","MIA",88,56,744,1047,236,4,11.9,0.71,0.29,0.2,0.5,154.4
"58","Jason Witten","TE","DAL",95,69,673,608,273,3,6.4,1.11,0.16,0.2,0.42,154.3
"59","Antonio Gates","TE","SD",93,53,548,769,188,7,8.3,0.71,0.19,0.2,0.43,149.8
"60","Mohamed Sanu","WR","ATL",81,59,653,646,287,4,8,1.01,0.14,0.16,0.34,148.8
"61","Tavon Austin","WR","LA",106,58,509,730,272,3,6.9,0.7,0.2,0.21,0.46,148.8
"62","Jeremy Kerley","WR","SF",115,64,667,993,219,3,8.6,0.67,0.25,0.23,0.52,148.7
"63","Randall Cobb","WR","GB",84,60,610,534,364,4,6.4,1.14,0.12,0.17,0.33,148.3
"64","Jack Doyle","TE","IND",75,59,584,480,246,5,6.4,1.22,0.1,0.13,0.26,147.4
"65","Alshon Jeffery","WR","CHI",94,52,821,1260,199,2,13.4,0.65,0.32,0.22,0.56,146.1
"66","Eric Ebron","TE","DET",85,61,711,704,283,1,8.3,1.01,0.18,0.17,0.37,144.2
"67","Taylor Gabriel","WR","ATL",51,36,588,532,284,6,10.4,1.11,0.15,0.13,0.3,141.9
"68","J.J. Nelson","WR","ARI",74,34,568,1249,174,6,16.9,0.45,0.24,0.13,0.36,141.1
"69","Travis Benjamin","WR","SD",75,47,677,1038,246,4,13.8,0.65,0.24,0.15,0.39,138.4
"70","Coby Fleener","TE","NO",82,50,631,761,212,3,9.3,0.83,0.16,0.12,0.29,137.3
"71","Charles Clay","TE","BUF",87,57,552,694,192,4,8,0.8,0.17,0.2,0.42,136.2
"72","C.J. Fiedorowicz","TE","HOU",89,54,559,609,212,4,6.8,0.92,0.13,0.17,0.34,133.9
"73","Hunter Henry","TE","SD",53,36,482,462,198,8,8.7,1.04,0.11,0.11,0.25,132.2
"74","Adam Humphries","WR","TB",83,55,622,461,382,2,5.6,1.35,0.08,0.15,0.28,131
"75","Chris Hogan","WR","NE",58,38,680,800,241,4,13.8,0.85,0.21,0.11,0.31,130.9
"76","Terrance Williams","WR","DAL",61,44,594,716,171,4,11.7,0.83,0.19,0.13,0.33,127.4
"77","Tyler Boyd","WR","CIN",81,54,603,674,201,1,8.3,0.89,0.15,0.14,0.32,126.1
"78","Eli Rogers","WR","PIT",66,48,594,623,204,3,9.4,0.95,0.15,0.14,0.31,126
"79","Tyler Lockett","WR","SEA",66,41,597,698,216,1,10.6,0.86,0.15,0.12,0.29,124.1
"80","Will Fuller","WR","HOU",92,47,635,1428,238,2,15.5,0.44,0.32,0.18,0.49,122.2
"81","Zach Miller","TE","CHI",64,47,486,427,221,4,6.7,1.14,0.14,0.18,0.37,119.6
"82","Robert Woods","WR","BUF",76,51,613,837,124,1,11,0.73,0.23,0.19,0.45,118.9
"83","Robby Anderson","WR","NYJ",78,42,587,1317,131,2,16.9,0.45,0.31,0.16,0.46,116.9
"84","Brian Quick","WR","LA",77,41,564,858,177,3,11.1,0.66,0.22,0.14,0.37,115.4
"85","Vernon Davis","TE","WAS",59,44,583,527,238,2,8.9,1.11,0.11,0.1,0.23,114.3
"86","Cordarrelle Patterson","WR","MIN",70,52,453,343,329,2,4.9,1.32,0.09,0.12,0.24,113.6
"87","Lance Kendricks","TE","LA",87,50,499,433,276,2,5,1.15,0.11,0.16,0.32,111.9
